EmployeeID,LoginHour,FileDownloadMB,FailedLoginAttempts,Anomaly,RiskLevel
EMP039,2.517465319861855,126.80253614806384,0,-1,High
EMP029,6.951224717331421,47.1182030082605,1,1,Normal
EMP015,8.49486369721368,84.47819978857027,0,1,Normal
EMP043,6.504433636070301,28.904707246223378,0,1,Normal
EMP008,12.26482260786327,48.950345285091146,0,1,Normal
EMP021,6.139717244078735,103.1240190690653,1,1,Normal
EMP039,8.119911026606033,31.19098826636698,1,1,Normal
EMP019,9.261481154572182,104.37345673990785,1,1,Normal
EMP023,11.882546578132231,71.23255806366427,0,1,Normal
EMP011,6.128275697641121,33.12599672317197,0,1,Normal
EMP011,11.32632750430992,68.97223217166562,2,1,Normal
EMP024,9.020466122039174,79.1766334888019,1,1,Normal
EMP036,7.036982697904098,68.65429886651589,1,1,Normal
EMP040,9.92420694852654,2.8932584032863105,1,1,Normal
EMP024,9.39811939114694,28.185884725253942,2,1,Normal
EMP003,7.799566245682411,42.57444093345486,0,1,Normal
EMP022,9.139604169980037,47.76699712699861,0,1,Normal
EMP002,8.22937280627648,68.62016292652034,0,1,Normal
EMP024,9.227034690502496,55.33103002799761,0,1,Normal
EMP044,10.324261349042093,9.939669238696965,0,1,Normal
EMP030,12.172033632290704,61.405935530178894,1,1,Normal
EMP038,6.524369002346302,68.3175723585147,0,1,Normal
EMP002,13.266066749312532,66.79371343793119,0,1,Normal
EMP021,5.095824400954996,82.42342176663865,0,1,Normal
EMP033,8.696429809928834,75.01766463646712,0,1,Normal
EMP012,10.176634412969154,63.7754023768531,0,1,Normal
EMP022,9.561983735470065,47.89502865624059,1,1,Normal
EMP044,7.754600960358813,0.17117199452025744,2,-1,High
EMP025,8.58375549928545,62.88854657397758,1,1,Normal
EMP049,8.013998130682335,56.230630614893336,1,1,Normal
EMP027,7.821270486111577,58.147365115861206,3,-1,High
EMP042,10.69920419404205,11.697542725390718,0,1,Normal
EMP028,9.714030971930095,17.56830378775213,0,1,Normal
EMP016,7.614180809478691,81.59458559998711,0,1,Normal
EMP015,10.799199750866501,48.81334538430035,0,1,Normal
EMP047,9.614599041753218,70.44502092117872,1,1,Normal
EMP044,10.62572423767792,50.84955128391383,2,1,Normal
EMP003,10.259257683847224,50.89268418487236,0,1,Normal
EMP037,7.342009978155856,78.14851417927993,2,1,Normal
EMP007,7.879637919606061,34.51865815347878,0,1,Normal
EMP021,10.494587210246523,52.8836233082295,1,1,Normal
EMP009,10.22074053086693,36.13174133884873,0,1,Normal
EMP039,8.958196812071703,36.96511317703053,0,1,Normal
EMP018,9.234654766617563,40.72483629594082,0,1,Normal
EMP004,11.555329791576849,56.66401314901138,0,1,Normal
EMP025,7.81685722232834,35.63754135009568,0,1,Normal
EMP014,10.094194762340075,87.67268376720563,0,1,Normal
EMP050,8.595614695132213,23.16178093341488,0,1,Normal
EMP009,8.564637593545559,44.39385067515923,1,1,Normal
EMP026,11.19755370397438,36.808068251774756,1,1,Normal
EMP002,10.65083269797606,93.409336530612,0,1,Normal
EMP020,10.627019272001277,55.89664329534724,0,1,Normal
EMP028,11.610957614308658,80.95533618405905,0,1,Normal
EMP047,9.042007683265519,5.43318880889084,0,1,Normal
EMP007,10.363905942589927,58.011507976077766,1,1,Normal
EMP044,8.379466486813088,76.68892386870311,1,1,Normal
EMP008,9.648332704976884,52.46851967826272,0,1,Normal
EMP047,8.73971389126463,81.96441125196054,0,1,Normal
EMP035,9.193991929985437,34.481346496988834,1,1,Normal
EMP014,10.190314050873827,92.28042320556739,0,1,Normal
EMP017,7.363558633533055,118.9669437085775,1,1,Normal
EMP036,13.184774551370921,39.114843186810226,2,-1,High
EMP050,6.987965237000596,36.63492435797684,0,1,Normal
EMP040,6.571622774424536,93.60153431353103,0,1,Normal
EMP004,11.316221747000135,97.38716437192137,0,1,Normal
EMP002,10.583325387925871,34.314199185401954,0,1,Normal
EMP006,10.24823963410431,37.394395487124285,1,1,Normal
EMP042,10.25669101852856,41.54646173418478,0,1,Normal
EMP004,8.97550645430617,9.666484668971691,2,1,Normal
EMP029,7.205491257028337,22.440441605474053,0,1,Normal
EMP018,9.151609116387453,19.875776997437963,1,1,Normal
EMP026,7.645676576975776,26.966073046876147,0,1,Normal
EMP044,10.950239466835502,48.95945337839657,0,1,Normal
EMP034,8.705885236995723,57.026441976095626,1,1,Normal
EMP010,7.349005606414977,96.5150147844223,0,1,Normal
EMP036,8.357228316694012,20.04937877783627,0,1,Normal
EMP014,9.82586290855125,79.52967195429751,0,1,Normal
EMP031,7.872550894392051,43.58033467323473,2,1,Normal
EMP048,7.355559208867137,48.51608871042701,0,1,Normal
EMP015,9.487374422983825,70.24458476499811,0,1,Normal
EMP008,9.489933142217446,16.318339353131044,0,1,Normal
EMP014,7.9861136492577405,61.47229238552152,0,1,Normal
EMP023,8.057923388763355,54.99356624639168,0,1,Normal
EMP040,9.464099874715272,64.77353792024448,1,1,Normal
EMP021,6.103831317005351,58.67505931723454,0,1,Normal
EMP016,6.1850724512468895,123.65900419732682,0,1,Normal
EMP045,7.563111557495128,30.867800472460523,0,1,Normal
EMP018,8.573105696576306,34.07009134994547,0,1,Normal
EMP047,9.621815131196009,31.30578420725707,3,-1,High
EMP024,11.950712433899104,33.335686425192364,0,1,Normal
EMP026,10.71531924640404,30.87838618080447,0,1,Normal
EMP025,8.680122940073145,85.67049593322656,0,1,Normal
EMP045,8.961967584194623,92.61512743969564,1,1,Normal
EMP041,6.994941270724382,32.87761118751571,0,1,Normal
EMP029,8.96297372801522,25.02933280687314,0,1,Normal
EMP015,8.422682722159724,64.14246669159212,0,1,Normal
EMP045,9.64543712067618,33.43330867157086,1,1,Normal
EMP001,7.345538112895354,68.98795453266533,0,1,Normal
EMP025,10.038693028482344,56.08769062553899,0,1,Normal
EMP007,12.065477826005155,4.527676550083044,0,1,Normal
EMP009,8.782479703086285,96.42515603990185,3,-1,High
EMP024,9.803423444197882,103.87633019286565,0,1,Normal
EMP001,10.380287983422225,31.616339285468413,1,1,Normal
EMP044,8.197559056228327,38.368953201920476,0,1,Normal
EMP008,9.448184963620834,58.57596172174715,1,1,Normal
EMP024,9.02518480156359,60.033703699610754,1,1,Normal
EMP011,9.195352197097664,69.75632818018491,1,1,Normal
EMP017,7.453980432289067,110.3061361629905,1,1,Normal
EMP008,9.049020348517885,44.69158317517852,1,1,Normal
EMP035,9.9959965824909,26.051082663846387,0,1,Normal
EMP035,11.902287215590084,8.620423159564183,0,1,Normal
EMP033,10.918541652170413,28.072098801742428,1,1,Normal
EMP005,13.306364915023114,49.006190813786084,1,1,Normal
EMP042,7.465304874223901,103.83673590553363,0,1,Normal
EMP039,10.744641273441356,34.47166102891486,1,1,Normal
EMP041,9.366684011476703,56.71363854916696,0,1,Normal
EMP028,13.379605866435345,49.50731311781744,0,1,Normal
EMP007,7.383403429289697,85.65179820344252,2,1,Normal
EMP009,7.320556315638448,125.80797277620864,0,1,Normal
EMP008,7.801214709111956,34.07393681239038,0,1,Normal
EMP012,4.752208551380386,35.31681672445333,1,1,Normal
EMP034,7.948489956638478,81.32482631207216,0,1,Normal
EMP033,7.481734676892604,70.45674468878934,0,1,Normal
EMP048,9.300787572952416,105.401219772081,0,1,Normal
EMP023,9.683511951554319,67.51784555977892,1,1,Normal
EMP024,12.752341678431772,39.221237276388216,0,1,Normal
EMP037,10.9008476763721,67.71964492076928,0,1,Normal
EMP035,7.846192688675194,83.26110741748724,0,1,Normal
EMP044,7.203170657303284,74.61446543592092,1,1,Normal
EMP040,9.983838343013012,65.21822093321893,1,1,Normal
EMP022,6.359533585958715,82.00024068767462,0,1,Normal
EMP027,12.662917531708707,85.07886771337019,0,1,Normal
EMP035,11.358880241442574,91.46476973112581,0,1,Normal
EMP001,8.061648695790591,69.46129662768928,1,1,Normal
EMP035,5.573730941818245,44.98645759049437,1,1,Normal
EMP037,11.707744748330825,54.40141059299968,0,1,Normal
